Organism_Name,Genome.composition
Mirabilis crinkle mosaic virus,ssRNA(+)
Auricularia heimuer fusarivirus 1,ssRNA
Diaporthe rudis mitovirus 1,ssRNA(+)
Marmot associated feces virus 4,ssDNA
Hemipteran arli-related virus OKIAV94,ssRNA(-)
Isopteran arli-related virus OKIAV103,ssRNA(-)
Coleopteran arli-related virus OKIAV107,ssRNA(-)
Strepsipteran arli-related virus OKIAV104,ssRNA(-)
Blattodean arli-related virus OKIAV102,ssRNA(-)
Odonatan anphe-related virus OKIAV59,ssRNA(-)
Cherry virus T,ssRNA(+)
Macrophomina phaseolina ourmia-like virus 3,ssRNA(+)
Macrophomina phaseolina ourmia-like virus 2-A,ssRNA(+)
Macrophomina phaseolina ourmia-like virus 2,ssRNA(+)
Spodoptera eridania nucleopolyhedrovirus,dsDNA
Dendrobium viroid,ssRNA
Perhabdovirus perca,ssRNA(-)
Aphis citricidus meson-like virus,ssRNA(+)
Rubus virus 1,ssRNA(+)
Paper mulberry mosaic-associated virus,ssRNA(-)
Ashitaba mosaic virus,ssRNA(+)
Solanum melongena rhabdo-like virus,ssRNA(-)
Tulasnella bunyavirales-like 1,RNA
Lentinula edodes fusarivirus 1,ssRNA
Ceratobasidium mitovirus 1,ssRNA(+)
Oidiodendron maius ourmia-like virus 1,ssRNA(+)
Plum viroid I,ssRNA
Frankliniella occidentalis associated mesonivirus 1,ssRNA(+)
Insect mesonivirus 1,ssRNA(+)
Blackcurrant waikavirus A,ssRNA(+)
CRESS virus sp.,ssDNA
Botrytis cinerea fusarivirus 7,ssRNA
Botrytis cinerea fusarivirus 5,ssRNA
Botrytis cinerea fusarivirus 4,ssRNA
Botrytis cinerea fusarivirus 3,ssRNA
Botrytis cinerea hypovirus 4,ssRNA(+)
Botrytis cinerea hypovirus 2,ssRNA(+)
Botrytis cinerea negative-stranded RNA virus 5,ssRNA(-)
Botrytis cinerea negative-stranded RNA virus 4,ssRNA(-)
Botrytis cinerea negative-stranded RNA virus 3,ssRNA(-)
Hipposideros pomona bat coronavirus CHB25,ssRNA(+)
Yinshui bat virus,ssRNA(-)
Taiyi bat virus,ssRNA(-)
Botrytis cinerea ourmia-like virus 17,ssRNA(+)
Botrytis cinerea ourmia-like virus 16,ssRNA(+)
Botrytis cinerea ourmia-like virus 15,ssRNA(+)
Botrytis cinerea ourmia-like virus 14,ssRNA(+)
Botrytis cinerea ourmia-like virus 13,ssRNA(+)
Botrytis cinerea ourmia-like virus 12,ssRNA(+)
Botrytis cinerea ourmia-like virus 11,ssRNA(+)
Botrytis cinerea ourmia-like virus 10,ssRNA(+)
Botrytis cinerea ourmia-like virus 7,ssRNA(+)
Botrytis cinerea ourmia-like virus 6,ssRNA(+)
Botrytis cinerea ourmia-like virus 5,ssRNA(+)
Botrytis cinerea ourmia-like virus 4,ssRNA(+)
Botrytis cinerea ourmia-like virus 3,ssRNA(+)
Botrytis cinerea ourmia-like virus 2,ssRNA(+)
Botrytis cinerea ourmia-like virus 1,ssRNA(+)
Groundnut rosette assistor virus,ssRNA(+)
Fusarium oxysporum f. sp. dianthi mitovirus 1,ssRNA(+)
Botryosphaeria dothidea fusarivirus 1,ssRNA
Plasmopara viticola lesion associated yadokari virus 1,RNA
Plasmopara viticola lesion associated fusarivirus 2,ssRNA
Plasmopara viticola lesion associated fusarivirus 1,ssRNA
Plasmopara viticola lesion associated ourmia-like virus 91,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 90,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 89,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 88,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 87,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 85,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 84,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 83,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 82,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 81,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 80,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 79,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 78,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 77,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 76,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 75,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 74,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 73,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 72,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 71,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 70,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 69,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 68,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 67,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 66,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 64,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 63,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 62,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 61,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 60,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 59,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 58,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 57,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 56,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 55,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 54,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 53,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 52,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 51,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 50,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 49,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 48,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 47,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 46,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 45,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 44,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 43,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 42,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 41,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 40,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 39,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 38,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 37,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 36,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 35,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 34,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 29,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 27,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 26,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 25,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 24,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 23,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 22,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 21,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 20,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 19,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 18,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 17,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 16,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 15,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 14,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 13,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 12,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 11,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 10,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 9,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 8,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 7,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 6,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 5,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 4,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 3,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 2,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 1,ssRNA(+)
Oberland virus,ssRNA(-)
Fiwi virus,ssRNA(-)
Rhizoctonia solani mitovirus 39,ssRNA(+)
Apple ourmia-like virus 3,ssRNA(+)
Apple ourmia-like virus 2,ssRNA(+)
Chicken virus mg5_2876,ssDNA
Fusarium sacchari hypovirus 1,ssRNA(+)
Euproctis digramma nucleopolyhedrovirus,dsDNA
Actinidia yellowing virus 1,ssRNA(+)
Fusarium oxysporum dianthi hypovirus 2,ssRNA(+)
Trichoderma harzianum hypovirus 1,ssRNA(+)
Serpentovirinae sp.,ssRNA(+)
Serpentovirinae sp.,ssRNA(+)
Serpentovirinae sp.,ssRNA(+)
Southern Psittacara leucophthalmus aviadenovirus,dsDNA
Harbour porpoise rhabdovirus,ssRNA(-)
Heterobasidion mitovirus 3,ssRNA(+)
Heterobasidion mitovirus 3,ssRNA(+)
Heterobasidion mitovirus 2,ssRNA(+)
Rose virus A,ssRNA(+)
rubber tree virus 1,ssRNA(+)
Jeremy Point nyavirus,ssRNA(-)
Geopora sumneriana mitovirus 1,ssRNA(+)
Papaya mottle associated virus,ssRNA(+)
Papaya mild mottle associated virus,ssRNA(+)
Cherry symptomless virus,ssRNA(+)
Northern red-backed vole stool-associated circular virus 117,ssDNA
Northern red-backed vole stool-associated circular virus 116,ssDNA
Northern red-backed vole stool-associated circular virus 16,ssDNA
Northern red-backed vole stool-associated circular virus 11,ssDNA
Tylonycteris bat coronavirus HKU33,ssRNA(+)
Entomophthora muscae mitovirus 7,ssRNA(+)
Entomophthora muscae mitovirus 6,ssRNA(+)
Entomophthora muscae mitovirus 5,ssRNA(+)
Entomophthora muscae mitovirus 4,ssRNA(+)
Entomophthora muscae mitovirus 3,ssRNA(+)
Entomophthora muscae mitovirus 2,ssRNA(+)
Entomophthora muscae mitovirus 1,ssRNA(+)
Amsterdam virus,ssRNA(-)
Pacific salmon nidovirus,ssRNA(+)
Pistacia-associated flexivirus 1,ssRNA(+)
Neofusicoccum parvum mitovirus 1,ssRNA(+)
Alternaria alternata mitovirus 1,ssRNA(+)
Epicoccum nigrum mitovirus 1,ssRNA(+)
Dione juno nucleopolyhedrovirus,dsDNA
Rhizoctonia solani hypovirus 1,ssRNA(+)
Rhizoctonia solani fusarivirus 3,ssRNA
Rhizoctonia solani fusarivirus 1,ssRNA
Rhizoctonia solani fusarivirus 2,ssRNA
Zostera virus T,ssRNA(+)
Frog lyssa-like virus 1,ssRNA(-)
Alphacoronavirus sp.,ssRNA(+)
Alphacoronavirus sp.,ssRNA(+)
Alphacoronavirus sp.,ssRNA(+)
Blueberry green mosaic associated virus,ssRNA(+)
Rachiplusia nu nucleopolyhedrovirus,dsDNA
Rhizoctonia solani mitovirus 23,ssRNA(+)
Rhizoctonia solani ourmia-like virus 5,ssRNA(+)
Rhizoctonia solani ourmia-like virus 4,ssRNA(+)
Rhizoctonia solani ourmia-like virus 3,ssRNA(+)
Rhizoctonia solani ourmia-like virus 2,ssRNA(+)
Rhizoctonia solani mitovirus 34,ssRNA(+)
Rhizoctonia solani mitovirus 32,ssRNA(+)
Rhizoctonia solani mitovirus 31,ssRNA(+)
Rhizoctonia solani mitovirus 30,ssRNA(+)
Rhizoctonia solani mitovirus 27,ssRNA(+)
Rhizoctonia solani mitovirus 26,ssRNA(+)
Rhizoctonia solani mitovirus 25,ssRNA(+)
Rhizoctonia solani mitovirus 21,ssRNA(+)
Zymoseptoria tritici fusarivirus 1,ssRNA
Sclerotinia homoeocarpa fusarivirus 1,ssRNA
Rutstroemia firma fusarivirus 1,ssRNA
Neurospora discreta fusarivirus 1,ssRNA
Aspergillus ellipticus fusarivirus 1,ssRNA
Penicillium digitatum yadokarivirus 1,RNA
Trichoderma asperellum hypovirus 1,ssRNA(+)
Setosphaeria turcica hypovirus 1,ssRNA(+)
Sclerotinia homoeocarpa hypovirus 1,ssRNA(+)
Fusarium graminearum hypovirus 1,ssRNA(+)
Alternaria alternata hypovirus 1,ssRNA(+)
Morelia viridis nidovirus,ssRNA(+)
Hymenoscyphus fraxineus mitovirus 1,ssRNA(+)
Camellia ringspot associated virus 1,ssRNA(+)
Puccinia striiformis mitovirus 1,ssRNA(+)
Mexico trichovirus,ssRNA(+)
Hyphantria cunea granulovirus,dsDNA
Nigrospora oryzae mitovirus 2,ssRNA(+)
Nigrospora oryzae mitovirus 1,ssRNA(+)
Anopheles marajoara virus,ssRNA(-)
Anopheles darlingi virus,ssRNA(-)
Sclerotium rolfsii hypovirus 8,ssRNA(+)
Sclerotium rolfsii hypovirus 7,ssRNA(+)
Sclerotinia sclerotiorum hypovirus 6,ssRNA(+)
Sclerotium rolfsii hypovirus 5,ssRNA(+)
Sclerotium rolfsii hypovirus 4,ssRNA(+)
Sclerotium rolfsii hypovirus 3,ssRNA(+)
Sclerotium rolfsii hypovirus 2,ssRNA(+)
Sclerotium rolfsii fusarivirus 2,ssRNA
Sclerotium rolfsii fusarivirus 1,ssRNA
Birch carlavirus,ssRNA(+)
Trionyx sinensis hemorrhagic syndrome virus,ssRNA(+)
Sclerotinia sclerotiorum hypovirus 2,ssRNA(+)
Red clover associated virus 1,ssRNA(+)
Bipolaris oryzae hypovirus 1,ssRNA(+)
Shallot virus S,ssRNA(+)
Linepithema humile rhabdo-like virus 1,ssRNA(-)
Peach chlorotic leaf spot virus,ssRNA(+)
Sclerotium rolfsii hypovirus 1,ssRNA(+)
Bat alphacoronavirus,ssRNA(+)
Beta vulgaris mitovirus 1,ssRNA(+)
Wuhan redfin culter dimarhabodovirus,ssRNA(-)
Circular ssDNA virus sp.,ssDNA
Bat paramyxovirus,ssRNA(-)
Bat paramyxovirus,ssRNA(-)
Rocahepevirus ratti,ssRNA(+)
Entoleuca hypovirus 1,ssRNA(+)
Apple chlorotic fruit spot viroid,ssRNA
Entoleuca gammaflexivirus 2,ssRNA(+)
Entoleuca gammaflexivirus 1,ssRNA(+)
Fusarium sambucinum hypovirus 1,ssRNA(+)
Neurospora discreta fusarivirus 2,ssRNA
Sekira virus,ssRNA(-)
Pleioblastus mosaic virus,ssRNA(+)
Neurospora crassa fusarivirus 1,ssRNA
Culex tritaeniorhynchus Anphevirus,ssRNA(-)
Persimmon waikavirus,ssRNA(+)
Aucuba ringspot virus,dsDNA-RT
Feline paramyxovirus 163,ssRNA(-)
Fusarium boothii mitovirus 1,ssRNA(+)
Cherry virus B,ssRNA(+)
Yado-kari virus 3,RNA
Yado-kari virus 2,RNA
Yado-kari virus 4,RNA
Fusarium poae hypovirus 1,ssRNA(+)
Neofusicoccum luteum fusarivirus 1,ssRNA
Rodent paramyxovirus,ssRNA(-)
Agaricus bisporus virus 2,ssRNA(+)
Agaricus bisporus mitovirus 1,ssRNA(+)
Agaricus bisporus virus 11,ssRNA
Agaricus bisporus virus 10,unknown
Paslahepevirus balayani,ssRNA(+)
Gambie virus,ssRNA(-)
Citrus viroid VII,ssRNA
Ceratobasidium mitovirus A,ssRNA(+)
Sclerotinia nivalis mitovirus 2,ssRNA(+)
Sclerotinia nivalis mitovirus 1,ssRNA(+)
Eelpout rhabdovirus,ssRNA(-)
Macrophomina phaseolina single-stranded RNA virus 1,ssRNA
Alternaria brassicicola mitovirus,ssRNA(+)
Rhizoctonia cerealis mitovirus,ssRNA(+)
Heterobasidion mitovirus 1,ssRNA(+)
Hymenoscyphus fraxineus mitovirus 1,ssRNA(+)
Bat paramyxovirus,ssRNA(-)
Bat hepevirus,ssRNA(+)
Buergenerula spartinae mitovirus 1,ssRNA(+)
Sclerotinia sclerotiorum mitovirus 7,ssRNA(+)
Sclerotinia sclerotiorum mitovirus 6,ssRNA(+)
Paslahepevirus balayani,ssRNA(+)
Fusarium circinatum mitovirus 2-1,ssRNA(+)
Fusarium circinatum mitovirus 1,ssRNA(+)
Ophiostoma mitovirus 7,ssRNA(+)
Ophiostoma mitovirus 1c,ssRNA(+)
Rhizoctonia mitovirus 1 RS002,ssRNA(+)
Miniopterus schreibersii paramyxovirus,ssRNA(-)
Sclerotinia sclerotiorum mitovirus 4,ssRNA(+)
Sclerotinia sclerotiorum mitovirus 3,ssRNA(+)
Sclerotinia sclerotiorum mitovirus 1,ssRNA(+)
Gremmeniella abietina non-host-specific mitochondrial RNA virus S1,ssRNA(+)
Tuber excavatum mitovirus,ssRNA(+)
Aspergillus foetidus slow virus 2,RNA
Tapajos virus,ssRNA(-)
Anole lyssa-like virus 1,ssRNA(-)
Mexican black-tailed rattlesnake bornavirus,ssRNA(-)
Bacopa monnieri virus 2,ssRNA(-)
Bacopa monnieri virus 1,ssRNA(-)
Entomophthora muscae mitovirus 8,ssRNA(+)
Humulus lupulus mitovirus 1,ssRNA(+)
Dahlia pinnata mitovirus 1,ssRNA(+)
Cannabis sativa mitovirus 1,ssRNA(+)
Oxybasis rubra mitovirus 1,ssRNA(+)
Petunia exserta mitovirus 1,ssRNA(+)
Solanum chacoense mitovirus 1,ssRNA(+)
Azolla filiculoides mitovirus 1,ssRNA(+)
Eriocheir sinensis reovirus,dsRNA
Sclerotinia homoeocarpa mitovirus,ssRNA(+)
Ophiostoma mitovirus 3b,ssRNA(+)
Ophiostoma mitovirus 1b,ssRNA(+)
Ophiostoma mitovirus 1a,ssRNA(+)
Gremmeniella mitovirus S1,ssRNA(+)
Helicobasidium mompa mitovirus 1-18,ssRNA(+)
Macropodid alphaherpesvirus 2,dsDNA
Bovine alphaherpesvirus 2,dsDNA
Sowthistle yellow vein virus,ssRNA(-)
Caprine alphaherpesvirus 1,dsDNA
Chinese softshell turtle picornavirus 1,ssRNA(+)
Potato leafroll virus,ssRNA(+)
Rhabdoviridae sp.,ssRNA(-)
Carrot closterovirus,ssRNA(+)
megalopteran chu-related virus 119,ssRNA(-)
hymenopteran rhabdo-related virus 24,ssRNA(-)
Hymenopteran orino-related virus OKIAV85,ssRNA(-)
Hymenopteran chu-related virus OKIAV147,ssRNA(-)
hymenopteran chu-related virus 126,ssRNA(-)
hymenopteran chu-related virus 123,ssRNA(-)
Gemycircularvirus sp.,ssDNA
Yam asymptomatic virus 1,ssRNA(+)
Bughendera virus,ssRNA(-)
Genomoviridae sp.,ssDNA
Auricularia heimuer negative-stranded RNA virus 1,ssRNA(-)
Botrytis cinerea negative-stranded RNA virus 7,ssRNA(-)
Lepidopteran rhabdo-related virus 34,ssRNA(-)
hymenopteran rhabdo-related virus 38,ssRNA(-)
Hymenopteran orino-related virus OKIAV87,ssRNA(-)
hymenopteran rhabdo-related virus 109,ssRNA(-)
Bearded dragon adenovirus 1,dsDNA
Tomato leaf curl Kunene virus,ssDNA(+/-)
Lepus polyomavirus 1,dsDNA
Lepus torque teno virus 1,ssDNA(-)
Smacoviridae sp.,ssDNA
Smacoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Bat circovirus,ssDNA(+/-)
Sorghum mastrevirus associated alphasatellite,ssDNA
Artemisia carvifolia genomoviridae,ssDNA
Zizania latifolia genomoviridae,ssDNA
Amygdalus persica genomoviridae,ssDNA
Oxalis corniculata genomoviridae,ssDNA
Feline dependoparvovirus,ssDNA(+/-)
Yerba mate virus A,ssRNA(-)
Sclerotinia sclerotiorum ourmia-like virus 4,ssRNA(+)
Citrus Tunisia genomovirus 2,ssDNA
Citrus Tunisia genomovirus 1b,ssDNA
Atrato Chu-like virus 5,ssRNA(-)
Cotton leaf curl Gezira alphasatellite 3,ssDNA
Karukera tick virus,ssRNA(-)
Paper mulberry leaf curling associated virus 2,ssDNA(+/-)
Paper mulberry leaf curling associated virus 1,ssDNA(+/-)
Elk circovirus Banff/2019,ssDNA(+/-)
Herr Frank virus 1,ssRNA(-)
Plasmopara viticola lesion associated mononega virus 2,ssRNA(-)
Plasmopara viticola lesion associated mononegaambi virus 9,ssRNA(-)
Plasmopara viticola lesion associated mononegaambi virus 8,ssRNA(-)
Plasmopara viticola lesion associated mononegaambi virus 7,ssRNA(-)
Plasmopara viticola lesion associated mymonavirus 1,ssRNA(-)
Plasmopara viticola lesion associated mononegaambi virus 6,ssRNA(-)
Plasmopara viticola lesion associated mononegaambi virus 5,ssRNA(-)
Plasmopara viticola lesion associated mononegaambi virus 4,ssRNA(-)
Plasmopara viticola lesion associated mononegaambi virus 3,ssRNA(-)
Plasmopara viticola lesion associated mononegaambi virus 1,ssRNA(-)
Rustrela virus,ssRNA(+)
Ruhugu virus,ssRNA(+)
Papaya leaf curl betasatellite,ssDNA
Peach virus 1,ssRNA(-)
Phoma matteucciicola ourmia-like virus 1,ssRNA(+)
Feline chaphamaparvovirus,ssDNA(+/-)
Apple virus B,ssRNA(-)
Chicken smacovirus mg7_67,ssDNA
Chicken smacovirus mg5_1212,ssDNA
Chicken smacovirus mg5_1081,ssDNA
Chicken smacovirus mg4_964,ssDNA
Chicken smacovirus mg4_885,ssDNA
Chicken smacovirus mg4_881,ssDNA
Chicken genomovirus mg8_401,ssDNA
Chicken genomovirus mg7_78,ssDNA
Chicken genomovirus mg7_73,ssDNA
Chicken genomovirus mg4_1247,ssDNA
Chicken genomovirus mg4_1218,ssDNA
Chicken genomovirus mg4_1173,ssDNA
Chicken genomovirus mg4_1165,ssDNA
Ursus americanus circovirus,ssDNA(+/-)
Cardamom vein clearing nucleorhabdovirus 1,ssRNA(-)
Begomovirus-associated alphasatellite sp.,ssDNA
Hancheng leafhopper mivirus,ssRNA(-)
Avian associated porprismacovirus,ssDNA
Psittacara leucophthalmus chapparvovirus,ssDNA(+/-)
Culverton virus,ssRNA(-)
Beaked whale circovirus,ssDNA(+/-)
Milk vetch dwarf C1 alphasatellite,ssDNA
Narnavirus sp.,ssRNA(+)
Narnavirus sp.,ssRNA(+)
Senna severe yellow mosaic virus,ssRNA(+)
Fish HDV-like virus,ssRNA(-)
Chinese fire belly newt virus 1,dsDNA
Mivirus sp.,ssRNA(-)
Blanchseco virus,ssRNA(-)
Peafowl parvovirus 2,ssDNA(+/-)
Peafowl parvovirus 1,ssDNA(+/-)
San Jacinto virus,ssRNA(-)
Chusan Island toad virus 1,dsDNA
Termite HDV-like virus,ssRNA(-)
Citrus yellow mottle virus,ssRNA(+)
Plant associated genomovirus 29,ssDNA
Plant associated genomovirus 26,ssDNA
Plant associated genomovirus 25,ssDNA
Capybara associated cyclovirus 1,ssDNA(+/-)
Burpengary virus,ssRNA(+)
Panthera leo smacovirus 1,ssDNA
Lynx rufus smacovirus 2,ssDNA
Lynx rufus smacovirus 1,ssDNA
Lobeira virus,ssRNA(-)
Northern red-backed vole stool-associated gemycircularvirus 110,ssDNA
Siadenovirus IDL19-3602,dsDNA
Avian metaavulavirus 21,ssRNA(-)
Haematobia irritans densovirus,ssDNA(+/-)
Rodent deltavirus,ssRNA(-)
Penicillium adametzioides negative-stranded RNA virus 1,ssRNA(-)
Penicillium glabrum negative-stranded RNA virus 1,ssRNA(-)
Alternaria tenuissima negative-stranded RNA virus 1,ssRNA(-)
Penicillium cairnsense negative-stranded RNA virus 1,ssRNA(-)
Phaeoacremonium minimum ourmia-like virus 3,ssRNA(+)
Cladosporium cladosporioides ourmia-like virus 2,ssRNA(+)
Phaeoacremonium minimum ourmia-like virus 2,ssRNA(+)
Acremonium sclerotigenum ourmia-like virus 1,ssRNA(+)
Epicoccum nigrum ourmia-like virus 2,ssRNA(+)
Phaeoacremonium minimum ourmia-like virus 1,ssRNA(+)
Epicoccum nigrum ourmia-like virus 1,ssRNA(+)
Cladosporium uredinicola ourmiavirus 2,ssRNA(+)
Cladosporium uredinicola ourmiavirus 1,ssRNA(+)
Penicillium sumatrense ourmia-like virus 1,ssRNA(+)
Cladosporium cladosporioides ourmia-like virus 1,ssRNA(+)
Neofusicoccum parvum ourmia-like virus 1,ssRNA(+)
Tortoise genomovirus 17,ssDNA
Tortoise genomovirus 13,ssDNA
Tortoise genomovirus 10,ssDNA
Tortoise genomovirus 9,ssDNA
Capybara associated smacovirus 1_cap1_104,ssDNA
Melinis repens associated virus,ssDNA(+/-)
Tetranychus urticae-associated ambidensovirus,ssDNA(+/-)
Colletotrichum gloeosporioides ourmia-like virus 1,ssRNA(+)
Tasmanian devil-associated chapparvovirus 6,ssDNA(+/-)
Tasmanian devil-associated chapparvovirus 2,ssDNA(+/-)
Tasmanian devil-associated chapparvovirus 1,ssDNA(+/-)
Magnaporthe oryzae ourmia-like virus 4,ssRNA(+)
Capybara genomovirus 12,ssDNA
Capybara genomovirus 10,ssDNA
Capybara genomovirus 8,ssDNA
Capybara genomovirus 6,ssDNA
Capybara genomovirus 5,ssDNA
Capybara genomovirus 4,ssDNA
Capybara genomovirus 3,ssDNA
Capybara genomovirus 2,ssDNA
Capybara genomovirus 1,ssDNA
Gysinge virus,ssRNA(-)
Blackfly genomovirus 1,ssDNA
Blackfly genomovirus 9,ssDNA
Blackfly genomovirus 8,ssDNA
Blackfly genomovirus 7,ssDNA
Blackfly genomovirus 5,ssDNA
Blackfly genomovirus 4,ssDNA
Blackfly genomovirus 2,ssDNA
Green Sichuan pepper vein clearing-associated virus,dsDNA-RT
Aspergillus neoniger ourmia-like virus 1,ssRNA(+)
Finch associated genomovirus 3,ssDNA
Finch associated genomovirus 1,ssDNA
Finch associated genomovirus 8,ssDNA
Finch associated genomovirus 6,ssDNA
Finch associated genomovirus 4,ssDNA
Finch associated genomovirus 2,ssDNA
Finch associated genomovirus 5,ssDNA
Corella adenovirus 1,dsDNA
TTV-like mini virus,ssDNA(-)
Ugandan passiflora virus,ssRNA(+)
Torque teno ocelot virus,ssDNA(-)
Bat gemycircularvirus,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
