Species,Family,Genome.composition
robinz virus RP_620,Circoviridae,ssDNA(+/-)
robinz virus RP_584,Circoviridae,ssDNA(+/-)
robinz virus RP_526,Circoviridae,ssDNA(+/-)
robinz virus RP_493,Circoviridae,ssDNA(+/-)
robinz virus RP_259,Circoviridae,ssDNA(+/-)
Longquan Niviventer coninga ledantevirus 1,Rhabdoviridae,ssRNA(-)
Wufeng Rhinolophus pearsonii tupavirus 1,Rhabdoviridae,ssRNA(-)
Fushun ischnura senegalensis lispivirus 1,Lispiviridae,ssRNA(-)
Sanya nyamivirus 1,Nyamiviridae,ssRNA(-)
Guiyang lispivirus 2,Lispiviridae,ssRNA(-)
Guiyang lispivirus 1,Lispiviridae,ssRNA(-)
Hangzhou cletus punctiger lispivirus 1,Lispiviridae,ssRNA(-)
Thriprhavirus intonsa,Rhabdoviridae,ssRNA(-)
Hangzhou acrida cinerea lispivirus 1,Lispiviridae,ssRNA(-)
Hangzhou eysarcoris guttigerus lispivirus 1,Lispiviridae,ssRNA(-)
Hangzhou scotinophara lurida lispivirus 1,Lispiviridae,ssRNA(-)
Horse parvovirus CSF,Parvoviridae,ssDNA(+/-)
Scorzonera virus A,Potyviridae,ssRNA(+)
Xinjiang mymona-like virus 2,Mymonaviridae,ssRNA(-)
Yunnan mymona-like virus 1,Mymonaviridae,ssRNA(-)
Equine circovirus 1,Circoviridae,ssDNA(+/-)
Rhabdoviridae sp.,Rhabdoviridae,ssRNA(-)
Avesvirus sinense,Lispiviridae,ssRNA(-)
Equine protoparvovirus,Parvoviridae,ssDNA(+/-)
Mejal virus,,RNA
Magnaporthe oryzae mononegaambi virus 1,,RNA
Wolvfec circovius,Circoviridae,ssDNA(+/-)
Metaplexis yellow mottle-associated virus,Caulimoviridae,dsDNA-RT
Grapevine-associated mononega-like virus 3,,ssRNA(-)
Trabala vishnou gigantina nucleopolyhedrovirus,Baculoviridae,dsDNA
Actinidia cytorhabdovirus JS27,Rhabdoviridae,ssRNA(-)
Marigold mosaic virus,Potyviridae,ssRNA(+)
Camellia virus A,Secoviridae,ssRNA(+)
Armillaria mellea ourmia-like virus 2,Botourmiaviridae,ssRNA(+)
Armillaria mellea ourmia-like virus 1,Botourmiaviridae,ssRNA(+)
Lentimonavirus armillariae,Mymonaviridae,ssRNA(-)
Duck-associated chapparvovirus 2,Parvoviridae,ssDNA(+/-)
Duck-associated chapparvovirus 1,Parvoviridae,ssDNA(+/-)
Duck-associated ambidensovirus 1,Parvoviridae,ssDNA(+/-)
Agapanthus carlavirus B,Betaflexiviridae,ssRNA(+)
