Organism_Name,Family,Genome.composition
Chifec virus UA13_1880,Circoviridae,ssDNA(+/-)
Chifec virus UA15_35,Circoviridae,ssDNA(+/-)
Chifec virus UA13_1817,Circoviridae,ssDNA(+/-)
Chifec virus UA13_1727,Circoviridae,ssDNA(+/-)
Avonheates virus SG_479,Bacilladnaviridae,ssDNA
Avonheates virus SG_154,Bacilladnaviridae,ssDNA
Avonheates virus SG_146,Bacilladnaviridae,ssDNA
Avonheates virus SG_120,Bacilladnaviridae,ssDNA
Avonheates virus SG_61,Bacilladnaviridae,ssDNA
Avonheates virus SG_28,Bacilladnaviridae,ssDNA
Avonheates virus SG_19,Bacilladnaviridae,ssDNA
Avonheates virus SG_924,Bacilladnaviridae,ssDNA
Avonheates virus SG_4_10,Bacilladnaviridae,ssDNA
Avonheates virus Gas_1078,Bacilladnaviridae,ssDNA
Fusarium oxysporum mymonavirus 1,Mymonaviridae,ssRNA(-)
Wufeng Myotis altarium vesiculovirus 1,Rhabdoviridae,ssRNA(-)
Wenzhou Myotis laniger tupavirus 1,Rhabdoviridae,ssRNA(-)
Wenzhou Rhinolophus pusillus ledantevirus 1,Rhabdoviridae,ssRNA(-)
Erysiphe necator associated ourmia-like virus 21,Botourmiaviridae,ssRNA(+)
Eumops bonariensis associated circovirus 1,Circoviridae,ssDNA(+/-)
Eumops bonariensis associated cyclovirus 1,Circoviridae,ssDNA(+/-)
Tadarida brasiliensis associated cyclovirus 1,Circoviridae,ssDNA(+/-)
Bat associated cyclovirus 17,Circoviridae,ssDNA(+/-)
Chinaberry tree badnavirus 1,Caulimoviridae,dsDNA-RT
Aksy-Durug Melophagus sigmavirus,Rhabdoviridae,ssRNA(-)
Erthesina fullo arlivirus 1,Lispiviridae,ssRNA(-)
Musa ornata-associated banmivirus,Betaflexiviridae,ssRNA(+)
Botrytis cinerea botoulivirus 19,Botourmiaviridae,ssRNA(+)
Botrytis cinerea botoulivirus 18,Botourmiaviridae,ssRNA(+)
Varidnaviria sp.,,dsDNA
Xiangshan rhabdo-like virus 1,Rhabdoviridae,ssRNA(-)
Xiangshan Nyami-like virus,Nyamiviridae,ssRNA(-)
Parvovirinae sp.,Parvoviridae,ssDNA(+/-)
Erannis ankeraria nucleopolyhedrovirus,Baculoviridae,dsDNA
Porcine ephemerovirus 2,Rhabdoviridae,ssRNA(-)
Porcine ephemerovirus 1,Rhabdoviridae,ssRNA(-)
Hogweed virus 4,Betaflexiviridae,ssRNA(+)
Cnidium virus 1,Rhabdoviridae,ssRNA(-)
Fusarium asiaticum negative-stranded RNA virus 1,,RNA
Apis rhabdovirus 3,Rhabdoviridae,ssRNA(-)
Newlavirus,Parvoviridae,ssDNA(+/-)
Olene mendosa nucleopolyhedrovirus,Baculoviridae,dsDNA
Tunisian small ruminant pestivirus,Tulasviridae,RNA
WigFec circovirus 2,Circoviridae,ssDNA(+/-)
WigFec circovirus 1,Circoviridae,ssDNA(+/-)
Heterobasidion ourmia-like virus 1,Botourmiaviridae,ssRNA(+)
Mongoose-associated cyclovirus,Circoviridae,ssDNA(+/-)
Mongoose-associated cyclovirus,Circoviridae,ssDNA(+/-)
Mongoose-associated circovirus,Circoviridae,ssDNA(+/-)
Psittacine parvovirus 1,Parvoviridae,ssDNA(+/-)
red panda amdoparvovirus,Parvoviridae,ssDNA(+/-)
robinz virus RP_1170,Circoviridae,ssDNA(+/-)
robinz virus RP_736,Circoviridae,ssDNA(+/-)
robinz virus RP_620,Circoviridae,ssDNA(+/-)
robinz virus RP_584,Circoviridae,ssDNA(+/-)
robinz virus RP_526,Circoviridae,ssDNA(+/-)
robinz virus RP_493,Circoviridae,ssDNA(+/-)
robinz virus RP_259,Circoviridae,ssDNA(+/-)
Longquan Niviventer coninga ledantevirus 1,Rhabdoviridae,ssRNA(-)
Wufeng Rhinolophus pearsonii tupavirus 1,Rhabdoviridae,ssRNA(-)
Fushun ischnura senegalensis lispivirus 1,Lispiviridae,ssRNA(-)
Sanya nyamivirus 1,Nyamiviridae,ssRNA(-)
Guiyang lispivirus 2,Lispiviridae,ssRNA(-)
Guiyang lispivirus 1,Lispiviridae,ssRNA(-)
Hangzhou cletus punctiger lispivirus 1,Lispiviridae,ssRNA(-)
Frankliniella intonsa rhabdovirus 1,Rhabdoviridae,ssRNA(-)
Hangzhou acrida cinerea lispivirus 1,Lispiviridae,ssRNA(-)
Hangzhou eysarcoris guttigerus lispivirus 1,Lispiviridae,ssRNA(-)
Hangzhou scotinophara lurida lispivirus 1,Lispiviridae,ssRNA(-)
Horse parvovirus CSF,Parvoviridae,ssDNA(+/-)
Scorzonera virus A,Potyviridae,ssRNA(+)
Xinjiang mymona-like virus 2,Mymonaviridae,ssRNA(-)
Yunnan mymona-like virus 1,Mymonaviridae,ssRNA(-)
Equine circovirus 1,Circoviridae,ssDNA(+/-)
Rhabdoviridae sp.,Rhabdoviridae,ssRNA(-)
Arlivirus sp.,Lispiviridae,ssRNA(-)
Equine protoparvovirus,Parvoviridae,ssDNA(+/-)
Mejal virus,,RNA
Magnaporthe oryzae mononegaambi virus 1,,RNA
Wolvfec circovius,Circoviridae,ssDNA(+/-)
Metaplexis yellow mottle-associated virus,Caulimoviridae,dsDNA-RT
Grapevine-associated mononega-like virus 3,,ssRNA(-)
Trabala vishnou gigantina nucleopolyhedrovirus,Baculoviridae,dsDNA
Actinidia cytorhabdovirus JS27,Rhabdoviridae,ssRNA(-)
Marigold mosaic virus,Potyviridae,ssRNA(+)
Camellia virus A,Secoviridae,ssRNA(+)
Armillaria mellea ourmia-like virus 2,Botourmiaviridae,ssRNA(+)
Armillaria mellea ourmia-like virus 1,Botourmiaviridae,ssRNA(+)
Armillaria mellea negative strand RNA virus 1,Mymonaviridae,ssRNA(-)
Duck-associated chapparvovirus 2,Parvoviridae,ssDNA(+/-)
Duck-associated chapparvovirus 1,Parvoviridae,ssDNA(+/-)
Duck-associated ambidensovirus 1,Parvoviridae,ssDNA(+/-)
Agapanthus carlavirus B,Betaflexiviridae,ssRNA(+)
Bemisia tabaci arlivirus 2,Lispiviridae,ssRNA(-)
Bemisia tabaci arlivirus 1,Lispiviridae,ssRNA(-)
Magnaporthe oryzae botourmiavirus 2,Botourmiaviridae,ssRNA(+)
Acanthamoeba castellanii medusavirus,,unknown
Pestalotiopsis botourmiavirus 3,Botourmiaviridae,ssRNA(+)
