Organism_Name,Family,Genome.composition
Amomum potyvirus A,Potyviridae,ssRNA(+)
Rhabdoviridae sp.,Rhabdoviridae,ssRNA(-)
Macrophomina phaseolina hypovirus 2,Hypoviridae,ssRNA(+)
Camellia ringspot associated virus 4,Betaflexiviridae,ssRNA(+)
California sea lion parvovirus,Parvoviridae,ssDNA(+/-)
Magnaporthe oryzae botourmiavirus 7,Botourmiaviridae,ssRNA(+)
Magnaporthe oryzae botourmiavirus 6,Botourmiaviridae,ssRNA(+)
Aconite virus A,Betaflexiviridae,ssRNA(+)
Ambidensovirus sp.,Parvoviridae,ssDNA(+/-)
Ambidensovirus sp.,Parvoviridae,ssDNA(+/-)
Thrips tabaci associated dimarhabdovirus 1,,RNA
Sorghum almum marafivirus,Tymoviridae,ssRNA(+)
Kenyan potato cytorhabdovirus,Rhabdoviridae,ssRNA(-)
Magnaporthe oryzae botourmiavirus 5,Botourmiaviridae,ssRNA(+)
Erysiphe necator associated negative-stranded RNA virus 2,,RNA
Erysiphe necator associated negative-stranded RNA virus 23,,RNA
Erysiphe necator associated negative-stranded RNA virus 6,,RNA
Erysiphe necator associated negative-stranded RNA virus 5,,RNA
Grapevine foveavirus A,Betaflexiviridae,ssRNA(+)
Elephant endotheliotropic herpesvirus 3A,Orthoherpesviridae,dsDNA
Bactericera trigonica densovirus,Parvoviridae,ssDNA(+/-)
Macaca fascicularis chapparvovirus,Parvoviridae,ssDNA(+/-)
Eqcopivirus EqCoPV_8,Parvoviridae,ssDNA(+/-)
Werosea cyclovirus,Circoviridae,ssDNA(+/-)
Avian adeno-associated virus,Parvoviridae,ssDNA(+/-)
Avian chapparvovirus,Parvoviridae,ssDNA(+/-)
Ursus americanus chapparvovirus,Parvoviridae,ssDNA(+/-)
Werosea circovirus,Circoviridae,ssDNA(+/-)
Ambidensovirus_Croatia_17_S17,Parvoviridae,ssDNA(+/-)
Psittacid alphaherpesvirus 5,Orthoherpesviridae,dsDNA
Loquat virus A,Betaflexiviridae,ssRNA(+)
Phocoena pestivirus,Flaviviridae,ssRNA(+)
Chrysodeixis includens nucleopolyhedrovirus,Baculoviridae,dsDNA
Dongyang pangolin virus,Flaviviridae,ssRNA(+)
Pestivirus sp.,Flaviviridae,ssRNA(+)
Cactus carlavirus 2,Betaflexiviridae,ssRNA(+)
Cactus carlavirus 1,Betaflexiviridae,ssRNA(+)
Botryosphaeria dothidea Ourmia-like virus,Botourmiaviridae,ssRNA(+)
Penaeus monodon metallodensovirus,Parvoviridae,ssDNA(+/-)
Naranjilla mild mosaic virus,Tymoviridae,ssRNA(+)
Solenopsis invicta virus 6,Dicistroviridae,ssRNA(+)
Bat pestivirus BtSk-PestV-1/GX2017,Flaviviridae,ssRNA(+)
Yerba mate-associated circular DNA virus 1,Amesuviridae,ssDNA
Desmodus rotundus dependoparvovirus,Parvoviridae,ssDNA(+/-)
Rodent bocavirus,Parvoviridae,ssDNA(+/-)
Pileated finch aveparvovirus,Parvoviridae,ssDNA(+/-)
Opossum tetraparvovirus,Parvoviridae,ssDNA(+/-)
Rodent tetraparvovirus,Parvoviridae,ssDNA(+/-)
Naranjilla chlorotic mosaic virus,Tymoviridae,ssRNA(+)
Thladiantha dubia mosaic virus,Potyviridae,ssRNA(+)
Anemone mosaic virus,Potyviridae,ssRNA(+)
Chaetoceros tenuissimus DNA virus SS12-43V,,DNA
Rodent pestivirus,Flaviviridae,ssRNA(+)
Rodent pestivirus,Flaviviridae,ssRNA(+)
Lupine feces-associated densovirus 2,Parvoviridae,ssDNA(+/-)
Human CSF-associated densovirus,Parvoviridae,ssDNA(+/-)
Ornithogalum mosaic virus,Potyviridae,ssRNA(+)
Canine bocavirus 3,Parvoviridae,ssDNA(+/-)
Lokiarchaeia virus SkuldV3,Skuldviridae,dsDNA
Trialeurodes vaporariorum mononega-like virus 2,,ssRNA(-)
Supella longipalpa mononega-like virus 2,,ssRNA(-)
Chalcocoris rutilans mononega-like virus 2,,ssRNA(-)
Trichopria drosophilae mononega-like virus,,ssRNA(-)
Belostoma flumineum mononega-like virus,,ssRNA(-)
Periplaneta americana mononega-like virus,,ssRNA(-)
Rhagovelia obesa mononega-like virus,,ssRNA(-)
Nomada lathburiana mononega-like virus,,ssRNA(-)
Oropsylla silantiewi mononega-like virus 2,,ssRNA(-)
Armillaria mellea negative strand RNA virus 2,,ssRNA(-)
Pinus flexilis virus 1,Rhabdoviridae,ssRNA(-)
Trachyspermum ammi virus 1,Rhabdoviridae,ssRNA(-)
Tagetes erecta virus 1,Rhabdoviridae,ssRNA(-)
Nymphaea alba virus 1,Rhabdoviridae,ssRNA(-)
Gymnadenia densiflora virus 1,Rhabdoviridae,ssRNA(-)
Glehnia littoralis virus 1,Rhabdoviridae,ssRNA(-)
Bemisia tabaci-associated virus 1,Rhabdoviridae,ssRNA(-)
Anthurium amnicola virus 1,Rhabdoviridae,ssRNA(-)
Rhododendron delavayi virus 1,Rhabdoviridae,ssRNA(-)
Plectranthus aromaticus virus 1,Rhabdoviridae,ssRNA(-)
Asclepias syriaca virus 2,Rhabdoviridae,ssRNA(-)
Asclepias syriaca virus 1,Rhabdoviridae,ssRNA(-)
Agave tequilana virus 1,Rhabdoviridae,ssRNA(-)
Acanthamoeba castellanii medusavirus,,unknown
Macropodid alphaherpesvirus 4,Orthoherpesviridae,dsDNA
Colobine gammaherpesvirus 1,Orthoherpesviridae,dsDNA
Cacatuid alphaherpesvirus 2,Orthoherpesviridae,dsDNA
Pteropus lylei-associated alphaherpesvirus,Orthoherpesviridae,dsDNA
Equid herpesvirus 6,Orthoherpesviridae,dsDNA
Macaca arctoides gammaherpesvirus 1,Orthoherpesviridae,dsDNA
Tomato leaf curl Pakistan betasatellite,Tolecusatellitidae,ssDNA
Cotton leaf curl betasatellite,Tolecusatellitidae,ssDNA
Cotton leaf curl betasatellite,Tolecusatellitidae,ssDNA
Kenaf leaf curl betasatellite,Tolecusatellitidae,ssDNA
Grapevine Tunisian ringspot virus,Secoviridae,ssRNA(+)
Belerina virus,Paramyxoviridae,ssRNA(-)
Rubella virus,Matonaviridae,ssRNA(+)
Equine infectious anemia virus,Retroviridae,ssRNA-RT
Carcinus maenas nudivirus,Nudiviridae,dsDNA
Crangon crangon nudivirus,Nudiviridae,dsDNA
Anisopteromalus calandrae negative-strand RNA virus 2,Lispiviridae,ssRNA(-)
Anisopteromalus calandrae negative-strand RNA virus 1,Lispiviridae,ssRNA(-)
Torque teno equus virus 2,Anelloviridae,ssDNA(-)
Ruloma virus,Paramyxoviridae,ssRNA(-)
Bangali torovirus,Tobaniviridae,ssRNA(+)
Mediterranean bat virus,Rhabdoviridae,ssRNA(-)
Matariya virus,Rhabdoviridae,ssRNA(-)
Burg el Arab virus,Rhabdoviridae,ssRNA(-)
Ouango virus,Rhabdoviridae,ssRNA(-)
Kolongo virus,Rhabdoviridae,ssRNA(-)
Bimbo virus,Rhabdoviridae,ssRNA(-)
Nasoule virus,Rhabdoviridae,ssRNA(-)
Sandjimba virus,Rhabdoviridae,ssRNA(-)
Boteke virus,Rhabdoviridae,ssRNA(-)
Bangoran virus,Rhabdoviridae,ssRNA(-)
Porton virus,Rhabdoviridae,ssRNA(-)
Agave virus T,Betaflexiviridae,ssRNA(+)
Hymenopteran rhabdo-related virus,Rhabdoviridae,ssRNA(-)
Hymenopteran rhabdo-related virus,Rhabdoviridae,ssRNA(-)
odonatan chu-related virus 137,Chuviridae,ssRNA(-)
odonatan chu-related virus 136,Chuviridae,ssRNA(-)
Poaceae Liege virus 1,Secoviridae,ssRNA(+)
Hymenopteran anphe-related virus OKIAV71,Xinmoviridae,ssRNA(-)
Hymenopteran arli-related virus OKIAV99,Lispiviridae,ssRNA(-)
Hemipteran arli-related virus OKIAV95,Lispiviridae,ssRNA(-)
Hymenopteran arli-related virus OKIAV98,Lispiviridae,ssRNA(-)
Bat hepevirus,Hepeviridae,ssRNA(+)
Soybean carlavirus 1,Betaflexiviridae,ssRNA(+)
Kander virus,Filoviridae,ssRNA(-)
Jimsystermes virus,Lispiviridae,ssRNA(-)
Chrysanthemum yellow dwarf virus,Rhabdoviridae,ssRNA(-)
Joa yellow blotch virus,Rhabdoviridae,ssRNA(-)
Veiled chameleon serpentovirus A,Tobaniviridae,ssRNA(+)
Veiled chameleon serpentovirus B,Tobaniviridae,ssRNA(+)
Snake melon asteroid mosaic virus,Solemoviridae,ssRNA(+)
Rose virus R,Rhabdoviridae,ssRNA(-)
Macrobrachium rosenbergii Golda virus,Roniviridae,ssRNA(+)
Picoa juniperi yado-kari virus 1,Yadokariviridae,RNA
Solenopsis invicta virus 15,Nyamiviridae,ssRNA(-)
Matsumuraeses phaseoli granulovirus,Baculoviridae,dsDNA
Pennisetum alopecuroides mosaic virus,Potyviridae,ssRNA(+)
Botryosphaeria dothidea mitovirus 1,Mitoviridae,ssRNA(+)
Bat alphacoronavirus,Coronaviridae,ssRNA(+)
Achyranthes virus A,Potyviridae,ssRNA(+)
Fusarium andiyazi mitovirus 1,Mitoviridae,ssRNA(+)
Fusarium verticillioides mitovirus 1,Mitoviridae,ssRNA(+)
Bondarzewia berkeleyi negative-strand RNA virus 1,Mymonaviridae,ssRNA(-)
Cucurbit cytorhabdovirus 1,Rhabdoviridae,ssRNA(-)
Cryphonectria parasitica sclerotimonavirus 1,Mymonaviridae,ssRNA(-)
Lettuce star mosaic virus,Secoviridae,ssRNA(+)
Yaravirus brasiliensis,,DNA
Giardia-associated CRESS DNA virus 4,Vilyaviridae,ssDNA
Giardia-associated CRESS DNA virus 2,,ssDNA
Giardia-associated CRESS DNA virus 2,,ssDNA
Giardia-associated CRESS DNA virus 1,Vilyaviridae,ssDNA
Entamoeba-associated CRESS DNA virus 4,Nenyaviridae,ssDNA
Entamoeba-associated CRESS DNA virus 3,Nenyaviridae,ssDNA
Entamoeba-associated CRESS DNA virus 2,Naryaviridae,ssDNA
Entamoeba-associated CRESS DNA virus 1,,ssDNA
Entamoeba-associated CRESS DNA virus 1,,ssDNA
Chestnut mosaic virus,Caulimoviridae,dsDNA-RT
Grapevine virus L,Betaflexiviridae,ssRNA(+)
Mirabilis crinkle mosaic virus,Potyviridae,ssRNA(+)
Auricularia heimuer fusarivirus 1,Fusariviridae,ssRNA
Diaporthe rudis mitovirus 1,Mitoviridae,ssRNA(+)
Marmot associated feces virus 4,Naryaviridae,ssDNA
Hemipteran arli-related virus OKIAV94,Lispiviridae,ssRNA(-)
Isopteran arli-related virus OKIAV103,Lispiviridae,ssRNA(-)
Coleopteran arli-related virus OKIAV107,Lispiviridae,ssRNA(-)
Strepsipteran arli-related virus OKIAV104,Lispiviridae,ssRNA(-)
Blattodean arli-related virus OKIAV102,Lispiviridae,ssRNA(-)
Odonatan anphe-related virus OKIAV59,Xinmoviridae,ssRNA(-)
Cherry virus T,Betaflexiviridae,ssRNA(+)
Macrophomina phaseolina ourmia-like virus 3,Botourmiaviridae,ssRNA(+)
Macrophomina phaseolina ourmia-like virus 2-A,Botourmiaviridae,ssRNA(+)
Macrophomina phaseolina ourmia-like virus 2,Botourmiaviridae,ssRNA(+)
Spodoptera eridania nucleopolyhedrovirus,Baculoviridae,dsDNA
Dendrobium viroid,Pospiviroidae,ssRNA
Perhabdovirus perca,Rhabdoviridae,ssRNA(-)
Aphis citricidus meson-like virus,Mesoniviridae,ssRNA(+)
Rubus virus 1,Betaflexiviridae,ssRNA(+)
Paper mulberry mosaic-associated virus,Rhabdoviridae,ssRNA(-)
Ashitaba mosaic virus,Potyviridae,ssRNA(+)
Solanum melongena rhabdo-like virus,Artoviridae,ssRNA(-)
Tulasnella bunyavirales-like 1,Tulasviridae,RNA
Lentinula edodes fusarivirus 1,Fusariviridae,ssRNA
Ceratobasidium mitovirus 1,Mitoviridae,ssRNA(+)
Oidiodendron maius ourmia-like virus 1,Botourmiaviridae,ssRNA(+)
Plum viroid I,Pospiviroidae,ssRNA
Frankliniella occidentalis associated mesonivirus 1,Mesoniviridae,ssRNA(+)
Insect mesonivirus 1,Mesoniviridae,ssRNA(+)
Blackcurrant waikavirus A,Secoviridae,ssRNA(+)
CRESS virus sp.,,ssDNA
Botrytis cinerea fusarivirus 7,Fusariviridae,ssRNA
Botrytis cinerea fusarivirus 5,Fusariviridae,ssRNA
Botrytis cinerea fusarivirus 4,Fusariviridae,ssRNA
Botrytis cinerea fusarivirus 3,Fusariviridae,ssRNA
Botrytis cinerea hypovirus 4,Hypoviridae,ssRNA(+)
Botrytis cinerea hypovirus 2,Hypoviridae,ssRNA(+)
Botrytis cinerea negative-stranded RNA virus 5,Mymonaviridae,ssRNA(-)
Botrytis cinerea negative-stranded RNA virus 4,Mymonaviridae,ssRNA(-)
Botrytis cinerea negative-stranded RNA virus 3,Mymonaviridae,ssRNA(-)
Hipposideros pomona bat coronavirus CHB25,Coronaviridae,ssRNA(+)
Yinshui bat virus,Rhabdoviridae,ssRNA(-)
Taiyi bat virus,Rhabdoviridae,ssRNA(-)
Botrytis cinerea ourmia-like virus 17,Botourmiaviridae,ssRNA(+)
Botrytis cinerea ourmia-like virus 16,Botourmiaviridae,ssRNA(+)
Botrytis cinerea ourmia-like virus 15,Botourmiaviridae,ssRNA(+)
Botrytis cinerea ourmia-like virus 14,Botourmiaviridae,ssRNA(+)
Botrytis cinerea ourmia-like virus 13,Botourmiaviridae,ssRNA(+)
Botrytis cinerea ourmia-like virus 12,Botourmiaviridae,ssRNA(+)
Botrytis cinerea ourmia-like virus 11,Botourmiaviridae,ssRNA(+)
Botrytis cinerea ourmia-like virus 10,Botourmiaviridae,ssRNA(+)
Botrytis cinerea ourmia-like virus 7,Botourmiaviridae,ssRNA(+)
Botrytis cinerea ourmia-like virus 6,Botourmiaviridae,ssRNA(+)
Botrytis cinerea ourmia-like virus 5,Botourmiaviridae,ssRNA(+)
Botrytis cinerea ourmia-like virus 4,Botourmiaviridae,ssRNA(+)
Botrytis cinerea ourmia-like virus 3,Botourmiaviridae,ssRNA(+)
Botrytis cinerea ourmia-like virus 2,Botourmiaviridae,ssRNA(+)
Botrytis cinerea ourmia-like virus 1,Botourmiaviridae,ssRNA(+)
Groundnut rosette assistor virus,Solemoviridae,ssRNA(+)
Fusarium oxysporum f. sp. dianthi mitovirus 1,Mitoviridae,ssRNA(+)
Botryosphaeria dothidea fusarivirus 1,Fusariviridae,ssRNA
Plasmopara viticola lesion associated yadokari virus 1,Yadokariviridae,RNA
Plasmopara viticola lesion associated fusarivirus 2,Fusariviridae,ssRNA
Plasmopara viticola lesion associated fusarivirus 1,Fusariviridae,ssRNA
Plasmopara viticola lesion associated ourmia-like virus 91,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 90,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 89,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 88,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 87,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 85,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 84,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 83,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 82,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 81,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 80,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 79,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 78,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 77,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 76,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 75,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 74,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 73,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 72,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 71,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 70,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 69,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 68,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 67,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 66,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 64,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 63,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 62,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 61,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 60,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 59,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 58,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 57,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 56,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 55,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 54,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 53,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 52,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 51,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 50,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 49,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 48,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 47,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 46,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 45,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 44,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 43,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 42,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 41,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 40,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 39,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 38,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 37,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 36,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 35,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 34,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 29,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 27,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 26,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 25,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 24,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 23,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 22,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 21,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 20,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 19,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 18,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 17,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 16,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 15,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 14,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 13,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 12,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 11,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 10,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 9,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 8,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 7,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 6,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 5,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 4,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 3,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 2,Botourmiaviridae,ssRNA(+)
Plasmopara viticola lesion associated ourmia-like virus 1,Botourmiaviridae,ssRNA(+)
Oberland virus,Filoviridae,ssRNA(-)
Fiwi virus,Filoviridae,ssRNA(-)
Rhizoctonia solani mitovirus 39,Mitoviridae,ssRNA(+)
Apple ourmia-like virus 3,Botourmiaviridae,ssRNA(+)
Apple ourmia-like virus 2,Botourmiaviridae,ssRNA(+)
Chicken virus mg5_2876,Naryaviridae,ssDNA
Fusarium sacchari hypovirus 1,Hypoviridae,ssRNA(+)
Euproctis digramma nucleopolyhedrovirus,Baculoviridae,dsDNA
Actinidia yellowing virus 1,Secoviridae,ssRNA(+)
Fusarium oxysporum dianthi hypovirus 2,Hypoviridae,ssRNA(+)
Trichoderma harzianum hypovirus 1,Hypoviridae,ssRNA(+)
Serpentovirinae sp.,Tobaniviridae,ssRNA(+)
Serpentovirinae sp.,Tobaniviridae,ssRNA(+)
Serpentovirinae sp.,Tobaniviridae,ssRNA(+)
Southern Psittacara leucophthalmus aviadenovirus,Adenoviridae,dsDNA
Harbour porpoise rhabdovirus,Rhabdoviridae,ssRNA(-)
Heterobasidion mitovirus 3,Mitoviridae,ssRNA(+)
Heterobasidion mitovirus 3,Mitoviridae,ssRNA(+)
Heterobasidion mitovirus 2,Mitoviridae,ssRNA(+)
Rose virus A,Betaflexiviridae,ssRNA(+)
rubber tree virus 1,Betaflexiviridae,ssRNA(+)
Jeremy Point nyavirus,Nyamiviridae,ssRNA(-)
Geopora sumneriana mitovirus 1,Mitoviridae,ssRNA(+)
Papaya mottle associated virus,Betaflexiviridae,ssRNA(+)
Papaya mild mottle associated virus,Betaflexiviridae,ssRNA(+)
Cherry symptomless virus,Betaflexiviridae,ssRNA(+)
Northern red-backed vole stool-associated circular virus 117,Vilyaviridae,ssDNA
Northern red-backed vole stool-associated circular virus 116,Vilyaviridae,ssDNA
Northern red-backed vole stool-associated circular virus 16,Vilyaviridae,ssDNA
Northern red-backed vole stool-associated circular virus 11,Vilyaviridae,ssDNA
Tylonycteris bat coronavirus HKU33,Coronaviridae,ssRNA(+)
Entomophthora muscae mitovirus 7,Mitoviridae,ssRNA(+)
Entomophthora muscae mitovirus 6,Mitoviridae,ssRNA(+)
Entomophthora muscae mitovirus 5,Mitoviridae,ssRNA(+)
Entomophthora muscae mitovirus 4,Mitoviridae,ssRNA(+)
Entomophthora muscae mitovirus 3,Mitoviridae,ssRNA(+)
Entomophthora muscae mitovirus 2,Mitoviridae,ssRNA(+)
Entomophthora muscae mitovirus 1,Mitoviridae,ssRNA(+)
Amsterdam virus,Lispiviridae,ssRNA(-)
Pacific salmon nidovirus,Coronaviridae,ssRNA(+)
Pistacia-associated flexivirus 1,Gammaflexiviridae,ssRNA(+)
Neofusicoccum parvum mitovirus 1,Mitoviridae,ssRNA(+)
Alternaria alternata mitovirus 1,Mitoviridae,ssRNA(+)
Epicoccum nigrum mitovirus 1,Mitoviridae,ssRNA(+)
Dione juno nucleopolyhedrovirus,Baculoviridae,dsDNA
Rhizoctonia solani hypovirus 1,Hypoviridae,ssRNA(+)
Rhizoctonia solani fusarivirus 3,Fusariviridae,ssRNA
Rhizoctonia solani fusarivirus 1,Fusariviridae,ssRNA
Rhizoctonia solani fusarivirus 2,Fusariviridae,ssRNA
Zostera virus T,Betaflexiviridae,ssRNA(+)
Frog lyssa-like virus 1,Rhabdoviridae,ssRNA(-)
Alphacoronavirus sp.,Coronaviridae,ssRNA(+)
Alphacoronavirus sp.,Coronaviridae,ssRNA(+)
Alphacoronavirus sp.,Coronaviridae,ssRNA(+)
Blueberry green mosaic associated virus,Betaflexiviridae,ssRNA(+)
Rachiplusia nu nucleopolyhedrovirus,Baculoviridae,dsDNA
Rhizoctonia solani mitovirus 23,Mitoviridae,ssRNA(+)
Rhizoctonia solani ourmia-like virus 5,Botourmiaviridae,ssRNA(+)
Rhizoctonia solani ourmia-like virus 4,Botourmiaviridae,ssRNA(+)
Rhizoctonia solani ourmia-like virus 3,Botourmiaviridae,ssRNA(+)
Rhizoctonia solani ourmia-like virus 2,Botourmiaviridae,ssRNA(+)
Rhizoctonia solani mitovirus 34,Mitoviridae,ssRNA(+)
Rhizoctonia solani mitovirus 32,Mitoviridae,ssRNA(+)
Rhizoctonia solani mitovirus 31,Mitoviridae,ssRNA(+)
Rhizoctonia solani mitovirus 30,Mitoviridae,ssRNA(+)
Rhizoctonia solani mitovirus 27,Mitoviridae,ssRNA(+)
Rhizoctonia solani mitovirus 26,Mitoviridae,ssRNA(+)
Rhizoctonia solani mitovirus 25,Mitoviridae,ssRNA(+)
Rhizoctonia solani mitovirus 21,Mitoviridae,ssRNA(+)
Zymoseptoria tritici fusarivirus 1,Fusariviridae,ssRNA
Sclerotinia homoeocarpa fusarivirus 1,Fusariviridae,ssRNA
Rutstroemia firma fusarivirus 1,Fusariviridae,ssRNA
Neurospora discreta fusarivirus 1,Fusariviridae,ssRNA
Aspergillus ellipticus fusarivirus 1,Fusariviridae,ssRNA
Penicillium digitatum yadokarivirus 1,Yadokariviridae,RNA
Trichoderma asperellum hypovirus 1,Hypoviridae,ssRNA(+)
